127.0.0.1 - - [25/Jul/2022:10:04:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:04:09 +0900] "GET /pro14/test03/member5.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:04:09 +0900] "GET /pro14/test03/member6.jsp HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:04:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:04:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:04:20 +0900] "GET /pro14/test03/member6.jsp HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:04:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:04:53 +0900] "GET /pro14/test03/member6.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:04:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:45:09 +0900] "GET /pro14/test03/member7.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:45:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:45:23 +0900] "GET /pro14/test03/member7.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:46:05 +0900] "GET /pro14/test03/member7.jsp HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:46:42 +0900] "GET /pro14/test03/member7.jsp HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:46:58 +0900] "GET /pro14/test03/member7.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:47:05 +0900] "GET /pro14/test03/member7.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:47:23 +0900] "GET /pro14/test03/member7.jsp HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [25/Jul/2022:10:47:56 +0900] "GET /pro14/test03/member7.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:17:22 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 500 2597
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:17:38 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 500 2597
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:17:49 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 500 2870
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:18:15 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:18:15 +0900] "GET /pro14/test03/member1.jsp?id=hong&pwd=1234&name=%ED%99%8D%EA%B8%B8%EB%8F%99&email=hong%40test.com HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:21:20 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:21:20 +0900] "GET /pro14/test03/member1.jsp?id=hong&pwd=1234&name=%ED%99%8D%EA%B8%B8%EB%8F%99&email=hong%40test.com HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:22:04 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:22:04 +0900] "GET /pro14/test03/member1.jsp?id=aaaa&pwd=1234&name=%EA%B0%80%EB%82%98%EB%8B%A4&email=abcd%40test.com HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:27:02 +0900] "GET /pro14/test03/member1.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:27:11 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:27:11 +0900] "GET /pro14/test03/member1.jsp;jsessionid=4E8A3808DB48E000186EF92EF6CE9873?id=aaaa&pwd=1234&name=%EA%B0%80%EB%82%98%EB%8B%A4&email=abcd%40test.com HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:27:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:28:23 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:28:23 +0900] "GET /pro14/test03/member1.jsp?id=aaaa&pwd=1234&name=%EA%B0%80%EB%82%98%EB%8B%A4&age=25&height=180 HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:34:46 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:34:46 +0900] "GET /pro14/test04/member1.jsp;jsessionid=2B253F368DE0196027029C3E94CE5F42?id=aaaa&pwd=8888&name=%EA%B0%80%EB%82%98%EB%8B%A4&eamil=aaaa%40test.com HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:34:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:36:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:38:42 +0900] "GET /pro14/test03/member2.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:38:56 +0900] "GET /pro14/test03/member2.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:39:15 +0900] "GET /pro14/test03/member3.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:41:06 +0900] "GET /pro14/test03/redirectTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:41:06 +0900] "GET /pro14/test04/member1.jsp?id=aaaa&pwd=8888&name=%EA%B0%80%EB%82%98%EB%8B%A4&eamil=aaaa%40test.com HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:42:32 +0900] "GET /pro14/test03/member5.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:42:41 +0900] "GET /pro14/test03/member6.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [25/Jul/2022:11:42:51 +0900] "GET /pro14/test04/member1.jsp HTTP/1.1" 200 635
